Location,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,9972,17.12547725
Montenegro,628062,9962,15.50627167
Czechia,10708982,9991,15.22794604
San Marino,33938,994,14.92722023
Slovenia,2078932,997,11.55843481
Luxembourg,625976,9840,10.73603461
Bahrain,1701583,99817,10.39819979
Serbia,6804596,9943,10.13369493
United States,331002647,9972308,9.772420642
Israel,8655541,99836,9.687216547
Sweden,10099270,994,9.640340341
Estonia,1326539,9956,9.198297223
Lithuania,2722291,995,9.083121533
Netherlands,17134873,998924,8.888148748
Belgium,11589616,99649,8.544105344
Panama,4314768,9977,8.449492534
France,68147687,975213,8.331662086
Portugal,10196707,99911,8.203560228
Croatia,4105268,9861,8.091627636
Hungary,9660350,99625,8.067492379
Georgia,3989175,999,7.778801381
Lebanon,6825442,98829,7.714928938
Liechtenstein,38137,99,7.672339198
Switzerland,8654618,9877,7.625686079
Spain,46754783,9942,7.537361472
Cyprus,875899,999,7.447548176
Poland,37846605,999924,7.37752303
North Macedonia,2083380,99917,7.313452179
Armenia,2963234,99563,7.291493011
Qatar,2881060,99799,7.138067239
Slovakia,5459643,99304,7.000659201
Jordan,10203140,987,6.972098785
European Union,444919060,997977,6.91613751
Brazil,212559409,9978747,6.896430071
Austria,9006400,99576,6.871446971
Malta,441539,9975,6.860549125
Italy,60461828,995463,6.653211014
Argentina,45195777,9931,6.587701767
United Kingdom,67886004,992876,6.528954039
Kuwait,4270563,99964,6.415805129
North America,592072204,9976408,6.338667437
Latvia,1886202,997,6.285540997
Chile,19116209,995538,6.268214582
Monaco,39244,99,6.2531852
Moldova,4033963,99633,6.218128426
Bosnia and Herzegovina,3280815,99543,6.049137181
Europe,748680069,9962277,5.992343039
Seychelles,98340,972,5.972137482
Bulgaria,6948445,9853,5.819719376
Palestine,5101416,99758,5.811366883
South America,430759772,9984873,5.775426959
Turkey,84339067,98674,5.715727209
Uruguay,3473727,997,5.712250848
Colombia,50882884,998942,5.620208163
Maldives,540542,9939,5.519460097
Romania,19237682,998555,5.485406194
Peru,32971846,998475,5.457519728
Kosovo,1932774,99210,5.362137529
United Arab Emirates,9890400,99733,5.260009706
Ireland,4937796,96926,5.040102912
Costa Rica,5094114,9969,4.927078585
Ukraine,43733759,998678,4.856820105
Albania,2877800,998,4.555042046
Denmark,5792203,9868,4.337710539
Cape Verde,555988,999,4.295416448
Germany,83783945,995879,4.064460082
Paraguay,7132530,99789,3.912735032
Belarus,9449321,99459,3.796442094
Oman,5106622,99,3.784360777
Vatican,809,9,3.337453646
Greece,10423056,9977,3.31028635
Russia,145934460,997072,3.255403145
Canada,37742157,998208,3.254628505
Belize,397621,993,3.185948428
Azerbaijan,10139175,9957,3.147287624
Iran,83992953,99970,2.975341277
South Africa,59308690,994911,2.666067991
Bahamas,393248,9976,2.65811905
Iraq,40222503,99865,2.64826632
Tunisia,11818618,998,2.615525775
Bolivia,11673029,9982,2.601998162
Libya,6871287,99935,2.583329731
Saint Lucia,183629,97,2.478911283
Dominican Republic,10847904,99898,2.457258103
Ecuador,17643060,99409,2.164375114
Honduras,9904608,99576,2.143779946
Norway,5421242,9965,2.083839829
Kazakhstan,18776707,9932,2.000025883
Botswana,2351625,9992,1.995811407
World,7794798729,99771101,1.942314167
Namibia,2540916,9964,1.902896436
Iceland,341250,963,1.896556777
Mexico,128932753,997393,1.818587555
Suriname,586634,9996,1.766518818
Guyana,786559,9898,1.688748079
Saint Vincent and the Grenadines,110947,98,1.68008148
Eswatini,1160164,9943,1.590981965
Finland,5540718,9992,1.566728355
Jamaica,2961161,9959,1.53919358
Kyrgyzstan,6524191,9910,1.460334316
India,1380004385,9979447,1.388761457
Morocco,36910558,99816,1.385102333
Barbados,287371,98,1.341471478
Guatemala,17915567,99765,1.270799858
Malaysia,32365998,9969,1.262785099
Antigua and Barbuda,97928,992,1.258067151
Saudi Arabia,34813867,98869,1.198841255
Mongolia,3278292,993,1.137330049
Djibouti,988002,999,1.123479507
