Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,2021-04-30,13232,17.12547725
Andorra,77265,2021-04-29,13198,17.08147285
Andorra,77265,2021-04-28,13148,17.0167605
Andorra,77265,2021-04-27,13121,16.98181583
Andorra,77265,2021-04-26,13083,16.93263444
Andorra,77265,2021-04-25,13060,16.90286676
Andorra,77265,2021-04-24,13024,16.85627386
Andorra,77265,2021-04-23,13007,16.83427166
Andorra,77265,2021-04-22,12942,16.7501456
Andorra,77265,2021-04-21,12917,16.71778943
Andorra,77265,2021-04-20,12874,16.6621368
Andorra,77265,2021-04-18,12805,16.57283375
Andorra,77265,2021-04-19,12805,16.57283375
Andorra,77265,2021-04-17,12771,16.52882935
Andorra,77265,2021-04-16,12712,16.45246878
Andorra,77265,2021-04-14,12641,16.36057723
Andorra,77265,2021-04-15,12641,16.36057723
Andorra,77265,2021-04-13,12614,16.32563256
Andorra,77265,2021-04-12,12581,16.28292241
Andorra,77265,2021-04-11,12545,16.23632952
Andorra,77265,2021-04-10,12497,16.17420566
Andorra,77265,2021-04-09,12456,16.12114153
Andorra,77265,2021-04-08,12409,16.06031191
Andorra,77265,2021-04-07,12363,16.00077655
Andorra,77265,2021-04-06,12328,15.9554779
Andorra,77265,2021-04-05,12286,15.90111952
Andorra,77265,2021-04-04,12231,15.82993593
Andorra,77265,2021-04-03,12174,15.75616385
Andorra,77265,2021-04-02,12115,15.67980327
Andorra,77265,2021-04-01,12053,15.59955996
Andorra,77265,2021-03-31,12010,15.54390733
Montenegro,628062,2021-04-30,97389,15.50627167
Montenegro,628062,2021-04-29,97257,15.48525464
Andorra,77265,2021-03-30,11944,15.45848703
Montenegro,628062,2021-04-28,97080,15.45707271
Montenegro,628062,2021-04-27,96930,15.43318972
Montenegro,628062,2021-04-26,96779,15.4091475
Montenegro,628062,2021-04-25,96660,15.39020033
Andorra,77265,2021-03-29,11888,15.38600919
Montenegro,628062,2021-04-24,96499,15.36456592
Montenegro,628062,2021-04-23,96348,15.34052371
Andorra,77265,2021-03-28,11850,15.3368278
Montenegro,628062,2021-04-22,96187,15.31488929
Montenegro,628062,2021-04-21,96048,15.29275772
Andorra,77265,2021-03-27,11809,15.28376367
Montenegro,628062,2021-04-20,95894,15.26823785
Montenegro,628062,2021-04-19,95695,15.23655308
Czechia,10708982,2021-04-30,1630758,15.22794604
Montenegro,628062,2021-04-18,95551,15.21362541
Czechia,10708982,2021-04-29,1628536,15.2071971
Montenegro,628062,2021-04-17,95377,15.18592114
Andorra,77265,2021-03-26,11732,15.18410665
Czechia,10708982,2021-04-28,1626033,15.1838242
Montenegro,628062,2021-04-16,95205,15.1585353
Czechia,10708982,2021-04-27,1622777,15.15341981
Montenegro,628062,2021-04-15,95042,15.13258245
Czechia,10708982,2021-04-26,1620206,15.12941193
Andorra,77265,2021-03-25,11687,15.12586553
Czechia,10708982,2021-04-25,1619383,15.12172679
Czechia,10708982,2021-04-24,1618068,15.10944738
Montenegro,628062,2021-04-14,94859,15.1034452
Czechia,10708982,2021-04-23,1615461,15.08510333
Montenegro,628062,2021-04-13,94643,15.06905369
Andorra,77265,2021-03-24,11638,15.06244742
Czechia,10708982,2021-04-22,1612832,15.06055384
Montenegro,628062,2021-04-12,94419,15.03338842
Czechia,10708982,2021-04-21,1609861,15.03281078
Montenegro,628062,2021-04-11,94269,15.00950543
Andorra,77265,2021-03-23,11591,15.00161781
Czechia,10708982,2021-04-20,1606030,14.99703707
Montenegro,628062,2021-04-10,94035,14.97224796
Czechia,10708982,2021-04-19,1602711,14.96604439
Czechia,10708982,2021-04-18,1601881,14.95829389
Czechia,10708982,2021-04-17,1600341,14.94391344
Andorra,77265,2021-03-22,11545,14.94208244
Montenegro,628062,2021-04-09,93803,14.93530893
San Marino,33938,2021-04-30,5066,14.92722023
Czechia,10708982,2021-04-16,1597103,14.91367714
San Marino,33938,2021-04-29,5060,14.90954093
San Marino,33938,2021-04-28,5059,14.90659438
Andorra,77265,2021-03-21,11517,14.90584353
San Marino,33938,2021-04-27,5058,14.90364783
Montenegro,628062,2021-04-08,93566,14.89757381
San Marino,33938,2021-04-26,5055,14.89480818
Czechia,10708982,2021-04-15,1593847,14.88327275
San Marino,33938,2021-04-23,5047,14.87123578
San Marino,33938,2021-04-24,5047,14.87123578
San Marino,33938,2021-04-25,5047,14.87123578
San Marino,33938,2021-04-22,5045,14.86534268
San Marino,33938,2021-04-21,5044,14.86239613
Andorra,77265,2021-03-20,11481,14.85925063
Montenegro,628062,2021-04-07,93309,14.85665428
San Marino,33938,2021-04-20,5040,14.85060994
Czechia,10708982,2021-04-14,1590124,14.84850754
San Marino,33938,2021-04-19,5030,14.82114444
Montenegro,628062,2021-04-06,93030,14.81223191
San Marino,33938,2021-04-17,5026,14.80935824
San Marino,33938,2021-04-18,5026,14.80935824
Czechia,10708982,2021-04-13,1585037,14.80100536
Andorra,77265,2021-03-19,11431,14.79453828
San Marino,33938,2021-04-16,5016,14.77989275
Montenegro,628062,2021-04-05,92740,14.76605813
Czechia,10708982,2021-04-12,1581184,14.76502622
San Marino,33938,2021-04-15,5010,14.76221345
Czechia,10708982,2021-04-11,1580189,14.75573495
Andorra,77265,2021-03-18,11393,14.74535689
San Marino,33938,2021-04-14,5004,14.74453415
Czechia,10708982,2021-04-10,1577972,14.7350327
Montenegro,628062,2021-04-04,92519,14.73087052
Andorra,77265,2021-03-17,11360,14.70264674
Czechia,10708982,2021-04-09,1573153,14.6900331
San Marino,33938,2021-04-13,4985,14.68854971
Montenegro,628062,2021-04-03,92222,14.68358219
Andorra,77265,2021-03-16,11319,14.64958261
Czechia,10708982,2021-04-08,1567848,14.64049524
Montenegro,628062,2021-04-02,91906,14.63326869
San Marino,33938,2021-04-12,4962,14.62077907
Andorra,77265,2021-03-15,11289,14.61075519
San Marino,33938,2021-04-10,4956,14.60309977
San Marino,33938,2021-04-11,4956,14.60309977
Andorra,77265,2021-03-14,11266,14.58098751
Montenegro,628062,2021-04-01,91573,14.58024845
Czechia,10708982,2021-04-07,1560777,14.57446656
San Marino,33938,2021-04-09,4944,14.56774118
San Marino,33938,2021-04-08,4932,14.53238258
Andorra,77265,2021-03-13,11228,14.53180612
Montenegro,628062,2021-03-31,91218,14.52372536
Czechia,10708982,2021-04-06,1555245,14.52280898
Czechia,10708982,2021-04-05,1553820,14.5095024
Andorra,77265,2021-03-12,11199,14.49427296
Czechia,10708982,2021-04-04,1551896,14.49153617
Czechia,10708982,2021-04-03,1549734,14.47134751
Montenegro,628062,2021-03-30,90832,14.46226646
San Marino,33938,2021-04-07,4904,14.44987919
Czechia,10708982,2021-04-02,1545865,14.43521896
Andorra,77265,2021-03-10,11130,14.40496991
Andorra,77265,2021-03-11,11130,14.40496991
Montenegro,628062,2021-03-29,90418,14.3963494
Czechia,10708982,2021-04-01,1539617,14.37687541
Andorra,77265,2021-03-09,11089,14.35190578
Montenegro,628062,2021-03-28,90083,14.34301072
San Marino,33938,2021-04-06,4864,14.33201721
Andorra,77265,2021-03-08,11069,14.32602084
Czechia,10708982,2021-03-31,1532332,14.3088484
Andorra,77265,2021-03-07,11042,14.29107617
Montenegro,628062,2021-03-27,89732,14.28712452
Andorra,77265,2021-03-06,11019,14.26130848
Andorra,77265,2021-03-05,10998,14.2341293
Montenegro,628062,2021-03-26,89363,14.22837236
Czechia,10708982,2021-03-30,1523668,14.22794436
Andorra,77265,2021-03-04,10976,14.20565586
Andorra,77265,2021-03-03,10948,14.16941694
Montenegro,628062,2021-03-25,88991,14.16914254
Czechia,10708982,2021-03-29,1516772,14.16354981
Czechia,10708982,2021-03-28,1515029,14.14727376
Andorra,77265,2021-03-02,10908,14.11764706
Czechia,10708982,2021-03-27,1511021,14.10984723
Montenegro,628062,2021-03-24,88550,14.09892654
Andorra,77265,2021-03-01,10889,14.09305636
San Marino,33938,2021-04-02,4775,14.06977429
San Marino,33938,2021-04-03,4775,14.06977429
San Marino,33938,2021-04-04,4775,14.06977429
San Marino,33938,2021-04-05,4775,14.06977429
Andorra,77265,2021-02-28,10866,14.06328868
Andorra,77265,2021-02-27,10849,14.04128648
Czechia,10708982,2021-03-26,1503307,14.03781424
Montenegro,628062,2021-03-23,88116,14.02982508
Andorra,77265,2021-02-26,10822,14.00634181
Andorra,77265,2021-02-25,10799,13.97657413
Czechia,10708982,2021-03-25,1495361,13.96361484
Montenegro,628062,2021-03-22,87638,13.95371795
Andorra,77265,2021-02-24,10775,13.9455122
San Marino,33938,2021-03-31,4730,13.93717956
San Marino,33938,2021-04-01,4730,13.93717956
Andorra,77265,2021-02-23,10739,13.8989193
Montenegro,628062,2021-03-21,87212,13.88589025
Czechia,10708982,2021-03-24,1486510,13.8809646
Andorra,77265,2021-02-22,10712,13.86397463
Andorra,77265,2021-02-21,10699,13.84714942
Montenegro,628062,2021-03-20,86782,13.81742567
Andorra,77265,2021-02-20,10672,13.81220475
San Marino,33938,2021-03-30,4678,13.78395898
Czechia,10708982,2021-03-23,1475538,13.77850855
Andorra,77265,2021-02-19,10645,13.77726008
Montenegro,628062,2021-03-19,86282,13.73781569
Andorra,77265,2021-02-18,10610,13.73196143
Czechia,10708982,2021-03-21,1469547,13.72256485
Czechia,10708982,2021-03-22,1467333,13.70189062
Andorra,77265,2021-02-17,10583,13.69701676
Andorra,77265,2021-02-16,10555,13.66077784
Montenegro,628062,2021-03-18,85774,13.65693196
San Marino,33938,2021-03-29,4631,13.64547115
Andorra,77265,2021-02-15,10538,13.63877564
Czechia,10708982,2021-03-20,1459406,13.62786864
Andorra,77265,2021-02-14,10503,13.59347699
Montenegro,628062,2021-03-17,85253,13.57397837
San Marino,33938,2021-03-27,4603,13.56296776
San Marino,33938,2021-03-28,4603,13.56296776
Andorra,77265,2021-02-13,10463,13.54170711
Czechia,10708982,2021-03-19,1449696,13.53719709
Andorra,77265,2021-02-12,10427,13.49511422
Montenegro,628062,2021-03-16,84700,13.48592973
Andorra,77265,2021-02-11,10391,13.44852132
Czechia,10708982,2021-03-18,1439019,13.43749574
Montenegro,628062,2021-03-15,84163,13.40042862
Andorra,77265,2021-02-10,10352,13.39804569
San Marino,33938,2021-03-26,4547,13.39796099
Andorra,77265,2021-02-09,10312,13.3462758
Montenegro,628062,2021-03-14,83693,13.32559524
Czechia,10708982,2021-03-17,1426991,13.32517881
Andorra,77265,2021-02-08,10275,13.29838866
Andorra,77265,2021-02-07,10251,13.26732673
Montenegro,628062,2021-03-13,83165,13.24152711
San Marino,33938,2021-03-24,4484,13.21232836
San Marino,33938,2021-03-25,4484,13.21232836
Andorra,77265,2021-02-06,10206,13.20908561
Czechia,10708982,2021-03-16,1412962,13.19417663
Andorra,77265,2021-02-05,10172,13.16508121
Montenegro,628062,2021-03-12,82610,13.15316004
Andorra,77265,2021-02-04,10137,13.11978257
Czechia,10708982,2021-03-15,1402420,13.0957359
Czechia,10708982,2021-03-14,1399078,13.06452845
Montenegro,628062,2021-03-11,82029,13.06065325
San Marino,33938,2021-03-23,4432,13.05910778
Andorra,77265,2021-02-03,10070,13.03306801
Czechia,10708982,2021-03-13,1392108,12.9994429
Montenegro,628062,2021-03-10,81457,12.96957944
Andorra,77265,2021-02-02,10017,12.96447292
San Marino,33938,2021-03-22,4388,12.9294596
Andorra,77265,2021-02-01,9972,12.9062318
Montenegro,628062,2021-03-09,80803,12.86544959
Andorra,77265,2021-01-31,9937,12.86093315
Czechia,10708982,2021-03-12,1376998,12.85834639
San Marino,33938,2021-03-20,4356,12.83517002
San Marino,33938,2021-03-21,4356,12.83517002
Andorra,77265,2021-01-30,9885,12.7936323
Montenegro,628062,2021-03-08,80191,12.76800698
Czechia,10708982,2021-03-11,1365724,12.75307027
San Marino,33938,2021-03-19,4328,12.75266663
Andorra,77265,2021-01-29,9837,12.73150844
Montenegro,628062,2021-03-07,79774,12.70161226
Andorra,77265,2021-01-28,9779,12.65644211
San Marino,33938,2021-03-18,4292,12.64659084
Czechia,10708982,2021-03-10,1351195,12.61739911
Montenegro,628062,2021-03-06,79237,12.61611115
Andorra,77265,2021-01-27,9716,12.57490455
Montenegro,628062,2021-03-05,78634,12.52010152
San Marino,33938,2021-03-17,4249,12.51988921
Andorra,77265,2021-01-26,9638,12.47395328
Czechia,10708982,2021-03-09,1335815,12.47378135
Montenegro,628062,2021-03-04,78060,12.42870927
Andorra,77265,2021-01-25,9596,12.4195949
San Marino,33938,2021-03-16,4204,12.38729448
Czechia,10708982,2021-03-08,1325291,12.37550871
Andorra,77265,2021-01-24,9549,12.35876529
Czechia,10708982,2021-03-07,1321331,12.3385304
Montenegro,628062,2021-03-03,77493,12.33843156
Andorra,77265,2021-01-23,9499,12.29405293
Czechia,10708982,2021-03-06,1312164,12.25292936
Montenegro,628062,2021-03-02,76868,12.23891909
San Marino,33938,2021-03-15,4151,12.23112735
Andorra,77265,2021-01-22,9416,12.18663043
San Marino,33938,2021-03-13,4126,12.15746361
San Marino,33938,2021-03-14,4126,12.15746361
Montenegro,628062,2021-03-01,76283,12.14577542
Andorra,77265,2021-01-21,9379,12.13874329
Czechia,10708982,2021-03-05,1299002,12.13002319
Montenegro,628062,2021-02-28,75834,12.07428566
San Marino,33938,2021-03-12,4096,12.06906712
Andorra,77265,2021-01-20,9308,12.04685174
Montenegro,628062,2021-02-27,75332,11.99435724
Czechia,10708982,2021-03-04,1284288,11.99262451
San Marino,33938,2021-03-11,4062,11.96888444
Montenegro,628062,2021-02-26,74789,11.90790081
Andorra,77265,2021-01-19,9194,11.89930758
San Marino,33938,2021-03-10,4030,11.87459485
Czechia,10708982,2021-03-03,1269058,11.85040744
Montenegro,628062,2021-02-25,74183,11.81141352
Andorra,77265,2021-01-17,9083,11.75564615
Andorra,77265,2021-01-18,9083,11.75564615
San Marino,33938,2021-03-09,3984,11.73905357
Montenegro,628062,2021-02-24,73612,11.72049893
Andorra,77265,2021-01-16,9038,11.69740503
Czechia,10708982,2021-03-02,1252242,11.69338038
Montenegro,628062,2021-02-23,72969,11.6181205
San Marino,33938,2021-03-08,3935,11.59467264
Czechia,10708982,2021-03-01,1240051,11.57954136
Andorra,77265,2021-01-15,8946,11.5783343
Slovenia,2078932,2021-04-30,240292,11.55843481
San Marino,33938,2021-03-06,3922,11.55636749
San Marino,33938,2021-03-07,3922,11.55636749
Czechia,10708982,2021-02-28,1235480,11.53685756
Montenegro,628062,2021-02-22,72395,11.52672825
Slovenia,2078932,2021-04-29,239339,11.51259397
San Marino,33938,2021-03-05,3896,11.4797572
Andorra,77265,2021-01-14,8868,11.47738303
Slovenia,2078932,2021-04-28,238421,11.46843668
Czechia,10708982,2021-02-27,1227595,11.46322778
Montenegro,628062,2021-02-21,71995,11.46304027
Slovenia,2078932,2021-04-27,238023,11.44929223
Andorra,77265,2021-01-13,8818,11.41267068
Slovenia,2078932,2021-04-26,237219,11.41061853
Slovenia,2078932,2021-04-25,237028,11.40143112
Montenegro,628062,2021-02-20,71593,11.39903385
San Marino,33938,2021-03-04,3867,11.39430727
Slovenia,2078932,2021-04-24,236613,11.38146895
Slovenia,2078932,2021-04-23,235711,11.33808128
Czechia,10708982,2021-02-26,1212780,11.32488597
Montenegro,628062,2021-02-19,71112,11.32244906
Slovenia,2078932,2021-04-22,234811,11.29478982
San Marino,33938,2021-03-03,3829,11.28233838
Slovenia,2078932,2021-04-21,234067,11.25900222
Montenegro,628062,2021-02-18,70658,11.2501632
Andorra,77265,2021-01-12,8682,11.23665308
Slovenia,2078932,2021-04-20,233031,11.20916894
Czechia,10708982,2021-02-25,1198168,11.18843976
Slovenia,2078932,2021-04-19,232311,11.17453577
Montenegro,628062,2021-02-17,70174,11.17310074
San Marino,33938,2021-03-02,3791,11.1703695
Slovenia,2078932,2021-04-18,232071,11.16299138
